,brand,brand_model,make,model,price,year,model_month,model_year,km_used,fuel_type,mileage,transmission,color,no_of_owners,overall_condition,engine_condition,suspension_condition,brakes_condition,electrical_condition,ac_condition,exterior_condition,interior_condition,tyre_condition
2760,Audi,Q3,Audi Q3,35 TDI quattro Technology,32.75,2018-06-01,6,2018,49702.0,Diesel,15.17,Automatic,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
3897,MarutiSuzuki,Ertiga,MarutiSuzuki Ertiga,LXi,4.9,2012-06-01,6,2012,49000.0,Petrol,16.02,Manual,Maroon,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.7
1455,Mahindra,XUV500,Mahindra XUV500,W8,7.77,2013-05-01,5,2013,89310.0,Diesel,15.1,Manual,Grey,Second,3.9,4.5,5.0,5.0,3.6,4.5,2.3,4.7,2.0
3901,Nissan,Sunny,Nissan Sunny,XE D,5.99,2017-06-01,6,2017,31900.0,Diesel,22.81,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
4515,Honda,Amaze,Honda Amaze,1.5 S i-DTEC,2.74,2013-06-01,6,2013,44252.0,Diesel,25.8,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.0
2349,Toyota,Innova,Toyota Innova,2.8 GX AT 7 STR [2016-2020],18.9,2019-02-01,2,2019,56000.0,Diesel,14.29,Automatic,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
1959,MarutiSuzuki,Omni,MarutiSuzuki Omni,E 8 STR BS-IV,2.79,2017-05-01,5,2017,25695.0,Petrol,16.8,Manual,Silver,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
2011,MarutiSuzuki,Swift,MarutiSuzuki Swift,LXi,5.57,2018-05-01,5,2018,14365.0,Petrol,20.4,Manual,Red,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
2177,MarutiSuzuki,S-Presso,MarutiSuzuki S-Presso,VXi AMT,5.25,2021-02-01,2,2021,12600.0,Petrol,21.7,Automatic,White,First,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
2037,MarutiSuzuki,Ciaz,MarutiSuzuki Ciaz,Sigma 1.4 MT,6.71,2017-10-01,10,2017,63147.0,Petrol,20.73,Manual,Brown,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
700,Tata,Tiago,Tata Tiago,Revotron XT [2016-2019],5.49,2018-06-01,6,2018,29422.0,Petrol,27.28,Manual,Orange,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
434,Tata,Nexon,Tata Nexon,XZ Plus Diesel,8.64,2019-05-01,5,2019,83901.0,Diesel,23.97,Manual,White,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
3040,Hyundai,i10,Hyundai i10,Magna,2.95,2010-06-01,6,2010,82000.0,Petrol,13.2,Manual,Grey,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
4421,Honda,Jazz,Honda Jazz,V AT Petrol,7.29,2017-05-01,5,2017,21271.0,Petrol,19.0,Automatic,Silver,First,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
3066,Hyundai,Elite i20,Hyundai Elite i20,Sportz Plus 1.4 CRDi,8.5,2019-06-01,6,2019,70000.0,Diesel,22.5,Manual,Silver,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
3530,MarutiSuzuki,Ignis,MarutiSuzuki Ignis,Delta 1.2 MT,5.0,2019-06-01,6,2019,52000.0,Petrol,20.84,Manual,White,First,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
4610,Audi,A4,Audi A4,2.0 TDI Sline,7.9,2012-06-01,6,2012,100000.0,Diesel,22.74,Manual,Silver,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1565,Ford,Ecosport,Ford Ecosport,Titanium+ 1.0L EcoBoost,7.75,2017-06-01,6,2017,59000.0,Petrol,18.9,Manual,Red,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.5
4783,Toyota,Innova,Toyota Innova,GX 2.4 7 STR,17.49,2019-06-01,6,2019,60000.0,Diesel,15.6,Manual,White,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
1848,Skoda,Rapid,Skoda Rapid,Style 1.6 MPI AT,9.5,2018-05-01,5,2018,50000.0,Petrol,14.84,Automatic,Red,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
565,Mahindra,Thar,Mahindra Thar,LX 4-STR Hard Top Diesel MT,15.95,2020-11-01,11,2020,33233.0,Diesel,13.28,Manual,Grey,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.2
2271,Mahindra,Marazzo,Mahindra Marazzo,M2 8 STR,8.9,2020-09-01,9,2020,88000.0,Diesel,17.3,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
938,Audi,A3,Audi A3,35 TDI Premium + Sunroof,17.0,2015-06-01,6,2015,27000.0,Diesel,19.2,Automatic,Red,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
3327,Ford,Fiesta/Classic,Ford Fiesta/Classic,1.4 TDCi CLXi,3.35,2013-06-01,6,2013,106581.0,Diesel,19.05,Manual,Grey,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
3266,MarutiSuzuki,Ciaz,MarutiSuzuki Ciaz,Delta Hybrid 1.5 AT [2018-2020],8.9,2019-09-01,9,2019,27000.0,Petrol,20.28,Automatic,Grey,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.8
5100,Hyundai,Elantra,Hyundai Elantra,CRDi Leather,6.95,2014-06-01,6,2014,44200.0,Diesel,18.84,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
3801,Renault,Duster,Renault Duster,110 PS RxL Diesel,3.55,2013-06-01,6,2013,8700.0,Diesel,19.01,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
3965,Mercedes-Benz,E-Class,Mercedes-Benz E-Class,E350 CDI Avantgarde,12.5,2011-06-01,6,2011,67000.0,Diesel,12.74,Automatic,Black,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
283,Hyundai,i20 Active,Hyundai i20 Active,1.2 SX,4.55,2016-05-01,5,2016,100848.0,Petrol,17.19,Manual,Brown,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
